"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","0","hid_tests.tests","test_hash","TestHashFiles","","","test_start_hashing_invalid_path",""
"passed","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","151","hid_tests.tests","test_hash","TestHashFiles","","","test_free_memory_manual",""
"passed","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","0","hid_tests.tests","test_hash","TestHashFiles","","","test_terminate_without_init",""
"skipped","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","151","hid_tests.tests","test_hash","TestHashFiles","","","test_read_log_line",""
"skipped","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","0","hid_tests.tests","test_hash","TestHashFiles","","","test_get_status_invalid_op_id",""
"passed","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","0","hid_tests.tests","test_hash","TestHashFiles","","","test_init_library_success",""
"skipped","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","0","hid_tests.tests","test_hash","TestHashFiles","","","test_stop_running_operation",""
"passed","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","0","hid_tests.tests","test_hash","TestHashFiles","","","test_terminate_library_success",""
"passed","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","150","hid_tests.tests","test_hash","TestHashFiles","","","test_stop_after_completion","
        What is really expected behavior if we try to stop completed operation?
        "
"passed","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","1","hid_tests.tests","test_hash","TestHashFiles","","","test_stop_invalid_op_id","
        # Need to clarify the correctness of behaviour - I use an invalid OP and test pass
        Not sure if it's a bug or ""feature"".
        "
"skipped","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:36 UTC 2025","152","hid_tests.tests","test_hash","TestHashFiles","","","test_hashes_generated_for_all_files",""
"passed","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","150","hid_tests.tests","test_hash","TestHashFiles","","","test_get_status_during_and_after",""
"passed","Wed Aug 20 19:10:35 UTC 2025","Wed Aug 20 19:10:35 UTC 2025","151","hid_tests.tests","test_hash","TestHashFiles","","","test_start_hashing_success",""
